,ID,Sentence,Condition,Attractor,Target,ilm_sent_mean_surp,ilm_target_mean_surp,ilm_sent_b-a,ilm_sent_d-b,ilm_sent_c-a,ilm_sent_d-c,ilm_target_b-a,ilm_target_d-b,ilm_target_c-a,ilm_target_d-c,gptneo_sent_mean_surp,gptneo_target_mean_surp,gptneo_sent_b-a,gptneo_sent_d-b,gptneo_sent_c-a,gptneo_sent_d-c,gptneo_target_b-a,gptneo_target_d-b,gptneo_target_c-a,gptneo_target_d-c,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,distilgpt2_sent_b-a,distilgpt2_sent_d-b,distilgpt2_sent_c-a,distilgpt2_sent_d-c,distilgpt2_target_b-a,distilgpt2_target_d-b,distilgpt2_target_c-a,distilgpt2_target_d-c
63,16,The lobby was starting to get busy. Hillary remembered the glass that the teenager with the pen very happily wore during a big night out. A group of friends had gone to the cinema.,d,pen,wore,4.52,6.81,,,,0.06,,,,2.11,4.59,10.86,,,,0.2,,,,1.24,4.83,8.44,,,,0.05,,,,3.74
64,17,There are always lots of chores to do. Barry saw the table that the housewife with the ornament carefully dusted an hour or two ago. It was boring but needed to be done.,a,ornament,dusted,4.16,6.38,0.08,,,,0.2,,,,3.78,5.12,0.01,,,,0.38,,,,4.49,5.69,0.09,,,,0.37,,,
65,17,There are always lots of chores to do. Barry saw the table that the housewife with the shopping carefully dusted an hour or two ago. It was boring but needed to be done.,b,shopping,dusted,4.24,6.58,,0.04,,,,-0.5,,,3.79,5.5,,0.16,,,,0.98,,,4.58,6.06,,0.08,,,,-0.47,,
66,17,There are always lots of chores to do. Barry saw the potato that the housewife with the ornament carefully dusted an hour or two ago. It was boring but needed to be done.,c,ornament,dusted,4.16,5.84,,,0.0,,,,-0.54,,3.91,5.53,,,0.13,,,,0.41,,4.56,5.35,,,0.07,,,,-0.34,
67,17,There are always lots of chores to do. Barry saw the potato that the housewife with the shopping carefully dusted an hour or two ago. It was boring but needed to be done.,d,shopping,dusted,4.28,6.08,,,,0.12,,,,0.24,3.95,6.48,,,,0.04,,,,0.95,4.66,5.59,,,,0.1,,,,0.24
68,18,Some children can be rather careless. Joanna noticed the water that the boy with the juice very stupidly poured during a break at school. It went absolutely everywhere.,a,juice,poured,4.92,3.29,-0.12,,,,0.1,,,,4.56,3.32,-0.13,,,,0.3,,,,5.4,5.62,-0.14,,,,1.29,,,
69,18,Some children can be rather careless. Joanna noticed the water that the boy with the napkin very stupidly poured during a break at school. It went absolutely everywhere.,b,napkin,poured,4.8,3.39,,0.0,,,,3.7,,,4.43,3.62,,-0.03,,,,4.54,,,5.26,6.91,,0.07,,,,1.28,,
70,18,Some children can be rather careless. Joanna noticed the spoon that the boy with the juice very stupidly poured during a break at school. It went absolutely everywhere.,c,juice,poured,4.92,6.03,,,0.0,,,,2.74,,4.53,7.49,,,-0.03,,,,4.17,,5.49,6.77,,,0.09,,,,1.15,
71,18,Some children can be rather careless. Joanna noticed the spoon that the boy with the napkin very stupidly poured during a break at school. It went absolutely everywhere.,d,napkin,poured,4.8,7.09,,,,-0.12,,,,1.06,4.4,8.16,,,,-0.13,,,,0.67,5.33,8.19,,,,-0.16,,,,1.42
72,19,Sometimes classes can be quite boring. Nathan noticed the note that the student with the essay patiently wrote during a very dull class. The lesson seemed to last for hours.,a,essay,wrote,4.56,4.72,0.08,,,,0.88,,,,4.3,4.74,-0.08,,,,-0.09,,,,4.92,6.51,0.15,,,,1.59,,,
73,19,Sometimes classes can be quite boring. Nathan noticed the note that the student with the ruler patiently wrote during a very dull class. The lesson seemed to last for hours.,b,ruler,wrote,4.64,5.6,,0.28,,,,3.49,,,4.22,4.65,,0.22,,,,3.87,,,5.07,8.1,,0.15,,,,2.07,,
74,19,Sometimes classes can be quite boring. Nathan noticed the bag that the student with the essay patiently wrote during a very dull class. The lesson seemed to last for hours.,c,essay,wrote,4.8,7.45,,,0.24,,,,2.73,,4.47,7.2,,,0.17,,,,2.46,,5.08,8.43,,,0.16,,,,1.92,
75,19,Sometimes classes can be quite boring. Nathan noticed the bag that the student with the ruler patiently wrote during a very dull class. The lesson seemed to last for hours.,d,ruler,wrote,4.92,9.09,,,,0.12,,,,1.64,4.44,8.52,,,,-0.03,,,,1.32,5.22,10.17,,,,0.14,,,,1.74
76,20,It was a rather lazy day. Tabitha remembered the newspaper that the lady by the magazines very slowly read while relaxing back at home. There was little else to do.,a,magazines,read,4.35,5.44,-0.16,,,,-0.41,,,,4.13,2.98,-0.14,,,,-0.49,,,,4.82,6.14,-0.09,,,,0.66,,,
77,20,It was a rather lazy day. Tabitha remembered the newspaper that the lady by the fireplace very slowly read while relaxing back at home. There was little else to do.,b,fireplace,read,4.19,5.03,,-0.11,,,,5.12,,,3.99,2.49,,0.03,,,,7.13,,,4.73,6.8,,-0.2,,,,4.19,,
78,20,It was a rather lazy day. Tabitha remembered the candlestick that the lady by the magazines very slowly read while relaxing back at home. There was little else to do.,c,magazines,read,4.29,9.87,,,-0.06,,,,4.43,,4.23,8.66,,,0.1,,,,5.68,,4.67,8.53,,,-0.15,,,,2.39,
79,20,It was a rather lazy day. Tabitha remembered the candlestick that the lady by the fireplace very slowly read while relaxing back at home. There was little else to do.,d,fireplace,read,4.08,10.15,,,,-0.21,,,,0.28,4.02,9.62,,,,-0.21,,,,0.96,4.53,10.99,,,,-0.14,,,,2.46
80,21,Some kids never pay attention to others. Tim saw the skateboard that the teenager by the bike dangerously rode without looking where to go. A bad accident very nearly occurred.,a,bike,rode,5.34,6.83,0.09,,,,1.26,,,,4.99,4.93,0.02,,,,0.73,,,,5.54,6.65,0.16,,,,0.27,,,
81,21,Some kids never pay attention to others. Tim saw the skateboard that the teenager by the pond dangerously rode without looking where to go. A bad accident very nearly occurred.,b,pond,rode,5.43,8.09,,0.33,,,,4.78,,,5.01,5.66,,0.45,,,,6.32,,,5.7,6.92,,0.31,,,,4.72,,
82,21,Some kids never pay attention to others. Tim saw the cardboard that the teenager by the bike dangerously rode without looking where to go. A bad accident very nearly occurred.,c,bike,rode,5.65,8.9,,,0.31,,,,2.07,,5.26,6.17,,,0.27,,,,1.24,,5.81,8.1,,,0.27,,,,1.45,
83,21,Some kids never pay attention to others. Tim saw the cardboard that the teenager by the pond dangerously rode without looking where to go. A bad accident very nearly occurred.,d,pond,rode,5.76,12.87,,,,0.11,,,,3.97,5.46,11.98,,,,0.2,,,,5.81,6.01,11.64,,,,0.2,,,,3.54
84,22,The restaurant was quite well known. Annabelle saw the steak that the cook with the pork quite expertly grilled during the rush at lunch. It was always busy around noon.,a,pork,grilled,4.63,8.97,0.04,,,,-0.01,,,,4.43,4.28,-0.06,,,,1.69,,,,4.96,10.26,0.02,,,,1.02,,,
85,22,The restaurant was quite well known. Annabelle saw the steak that the cook with the fork quite expertly grilled during the rush at lunch. It was always busy around noon.,b,fork,grilled,4.67,8.96,,0.14,,,,5.79,,,4.37,5.97,,0.12,,,,9.05,,,4.98,11.28,,0.15,,,,3.06,,
86,22,The restaurant was quite well known. Annabelle saw the knife that the cook with the pork quite expertly grilled during the rush at lunch. It was always busy around noon.,c,pork,grilled,4.8,13.97,,,0.17,,,,5.0,,4.53,12.82,,,0.1,,,,8.54,,5.17,13.0,,,0.21,,,,2.74,
87,22,The restaurant was quite well known. Annabelle saw the knife that the cook with the fork quite expertly grilled during the rush at lunch. It was always busy around noon.,d,fork,grilled,4.81,14.75,,,,0.01,,,,0.78,4.49,15.02,,,,-0.04,,,,2.2,5.13,14.34,,,,-0.04,,,,1.34
88,23,It can be tense in the armed forces. Jake noticed the helicopter that the pilot by the plane rather expertly landed a couple of nights ago. The weather had been terrible that evening.,a,plane,landed,4.65,6.84,0.11,,,,0.62,,,,4.45,4.54,0.13,,,,0.86,,,,4.86,7.31,0.07,,,,0.87,,,
89,23,It can be tense in the armed forces. Jake noticed the helicopter that the pilot by the tank rather expertly landed a couple of nights ago. The weather had been terrible that evening.,b,tank,landed,4.76,7.46,,0.24,,,,3.4,,,4.58,5.4,,0.24,,,,2.98,,,4.93,8.18,,0.29,,,,2.22,,
90,23,It can be tense in the armed forces. Jake noticed the automobile that the pilot by the plane rather expertly landed a couple of nights ago. The weather had been terrible that evening.,c,plane,landed,4.92,10.06,,,0.27,,,,3.22,,4.66,6.64,,,0.21,,,,2.1,,5.19,9.44,,,0.33,,,,2.13,
91,23,It can be tense in the armed forces. Jake noticed the automobile that the pilot by the tank rather expertly landed a couple of nights ago. The weather had been terrible that evening.,d,tank,landed,5.0,10.86,,,,0.08,,,,0.8,4.82,8.38,,,,0.16,,,,1.74,5.22,10.4,,,,0.03,,,,0.96
92,24,The summer holiday had been fantastic. Wendy remembered the yacht that the man with the boat quite confidently sailed one hot and sunny day. It was an enjoyable trip.,a,boat,sailed,4.97,6.65,0.08,,,,1.06,,,,4.52,5.94,0.15,,,,1.18,,,,5.17,6.48,0.17,,,,3.07,,,
93,24,The summer holiday had been fantastic. Wendy remembered the yacht that the man with the shirt quite confidently sailed one hot and sunny day. It was an enjoyable trip.,b,shirt,sailed,5.05,7.71,,-0.05,,,,2.87,,,4.67,7.12,,0.11,,,,4.57,,,5.34,9.55,,-0.05,,,,2.35,,
94,24,The summer holiday had been fantastic. Wendy remembered the beach that the man with the boat quite confidently sailed one hot and sunny day. It was an enjoyable trip.,c,boat,sailed,4.91,8.4,,,-0.06,,,,1.75,,4.59,7.11,,,0.07,,,,1.17,,5.17,7.17,,,0.0,,,,0.69,
95,24,The summer holiday had been fantastic. Wendy remembered the beach that the man with the shirt quite confidently sailed one hot and sunny day. It was an enjoyable trip.,d,shirt,sailed,5.0,10.58,,,,0.09,,,,2.18,4.78,11.69,,,,0.19,,,,4.58,5.29,11.9,,,,0.12,,,,4.73
96,25,The music school was known around the world. Barry saw the piano that the pupil by the guitar passionately played during a recital one day. It sounded really good.,a,guitar,during,4.51,6.11,0.11,,,,0.22,,,,4.37,7.61,0.07,,,,0.13,,,,4.93,6.92,0.12,,,,-0.1,,,
